Current Weight,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,G11,PeerGroup,OptimiserCategory,Type
0.21044437223744816,ALPHABET INC CLASS C,Growth,International Shares,Global Shares,Global Shares,Communication Services - 50,NASDAQ Stock Market,USD,United States,,Interactive Media & Services - 50203010,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.16857361219940653,TESLA INC,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary - 25,NASDAQ Stock Market,USD,United States,,Automobile Manufacturers - 25102010,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.1811256439880346,BROADCOM INC,Growth,International Shares,Global Shares,Global Shares,Information Technology - 45,NASDAQ Stock Market,USD,United States,,Semiconductors - 45301020,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.0741311819095163,ADOBE INC,Growth,International Shares,Global Shares,Global Shares,Information Technology - 45,NASDAQ Stock Market,USD,United States,,Application Software - 45103010,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.10182081578860365,COSTCO WHOLESALE CORP,Growth,International Shares,Global Shares,Global Shares,Consumer Staples - 30,NASDAQ Stock Market,USD,United States,,Consumer Staples Merchandise Retail - 30101040,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.06501997971703992,PEPSICO INC,Growth,International Shares,Global Shares,Global Shares,Consumer Staples - 30,NASDAQ Stock Market,USD,United States,,Soft Drinks & Non-alcoholic Beverages - 30201030,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.07716334955230403,CISCO SYSTEMS INC,Growth,International Shares,Global Shares,Global Shares,Information Technology - 45,NASDAQ Stock Market,USD,United States,,Communications Equipment - 45201020,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.10280003536983323,NETFLIX INC,Growth,International Shares,Global Shares,Global Shares,Communication Services - 50,NASDAQ Stock Market,USD,United States,,Movies & Entertainment - 50202010,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.07089115221656346,LINDE PLC,Growth,International Shares,Global Shares,Global Shares,Materials - 15,NASDAQ Stock Market,USD,United States,,Industrial Gases - 15101040,World Large Blend Equity,International Equities - Unhedged,IEQStock
0.08948118615721484,ADVANCED MICRO DEVICES INC,Growth,International Shares,Global Shares,Global Shares,Information Technology - 45,NASDAQ Stock Market,USD,United States,,Semiconductors - 45301020,World Large Blend Equity,International Equities - Unhedged,IEQStock
